ABS	ABSOLUTE
APPL-ALERT	APPL-ALERT-BOXES
AUTO-COMP	AUTO-COMPLETION
AUTO-IND	AUTO-INDENT
AUTO-Z	AUTO-ZAP
AVE	AVERAGE
BACKWARD	BACKWARDS
BATCH	BATCH-MODE
BGC	BGCOLOR
BORDER-B	BORDER-BOTTOM-CHARS
BORDER-BOTTOM-P	BORDER-BOTTOM-PIXELS
BORDER-L	BORDER-LEFT-CHARS
BORDER-LEFT-P	BORDER-LEFT-PIXELS
BORDER-R	BORDER-RIGHT-CHARS
BORDER-RIGHT-P	BORDER-RIGHT-PIXELS
BORDER-T	BORDER-TOP-CHARS
BORDER-TOP-P	BORDER-TOP-PIXELS
BOX-SELECT	BOX-SELECTABLE
BUTTON	BUTTONS
CHAR	CHARACTER
CLEAR-SELECT	CLEAR-SELECTION
CLEAR-SORT-ARROW	CLEAR-SORT-ARROWS
COLON-ALIGN	COLON-ALIGNED
COL	COLUMN
CONVERT-TO-OFFS	CONVERT-TO-OFFSET
CURRENT-ENV	CURRENT-ENVIRONMENT
DATA-ENTRY-RET	DATA-ENTRY-RETURN
DATA-T	DATA-TYPE
DATE-F	DATE-FORMAT
DDE-I	DDE-ID
DEBU	DEBUG
DEC	DECIMAL
DEFAUT-B	DEFAULT-BUTTON
DEFAULT-EX	DEFAULT-EXTENSION
DISPLAY-T	DISPLAY-TYPE
EDGE	EDGE-CHARS
EDGE-P	EDGE-PIXELS
ERROR-COL	ERROR-COLUMN
EVENT-T	EVENT-TYPE
FGC	FGCOLOR
FILE-OFF	FILE-OFFSET
FIRST-PROC	FIRST-PROCEDURE
FIRST-TAB-I	FIRST-TAB-ITEM
FORE	FOREGROUND
FORMATTE	FORMATTED
FORWARD	FORWARDS
FRAGMEN	FRAGMENT
FRAME-SPA	FRAME-SPACING
FROM-CUR	FROM-CURRENT
FULL-HEIGHT	FULL-HEIGHT-CHARS
FULL-HEIGHT-P	FULL-HEIGHT-PIXELS
FULL-PATHN	FULL-PATHNAME
FULL-WIDTH	FULL-WIDTH-CHARS
FULL-WIDTH-P	FULL-WIDTH-PIXELS
GET-BLUE	GET-BLUE-VALUE
GET-GREEN	GET-GREEN-VALUE
GET-RED	GET-RED-VALUE
GET-SELECTED	GET-SELECTED-WIDGET
GET-TEXT-HEIGHT	GET-TEXT-HEIGHT-CHARS
GET-TEXT-HEIGHT-P	GET-TEXT-HEIGHT-PIXELS
GET-TEXT-WIDTH	GET-TEXT-WIDTH-CHARS
GET-TEXT-WIDTH-P	GET-TEXT-WIDTH-PIXELS
GRID-FACTOR-H	GRID-FACTOR-HORIZONTAL
GRID-FACTOR-V	GRID-FACTOR-VERTICAL
GRID-UNIT-HEIGHT	GRID-UNIT-HEIGHT-CHARS
GRID-UNIT-HEIGHT-P	GRID-UNIT-HEIGHT-PIXELS
GRID-UNIT-WIDTH	GRID-UNIT-WIDTH-CHARS
GRID-UNIT-WIDTH-P	GRID-UNIT-WIDTH-PIXELS
HEIGHT	HEIGHT-CHARS
HEIGHT-P	HEIGHT-PIXELS
HORI	HORIZONTAL
IMAGE-SIZE-C	IMAGE-SIZE-CHARS
IMAGE-SIZE-P	IMAGE-SIZE-PIXELS
INFO	INFORMATION
INHERIT-BGC	INHERIT-BGCOLOR
INHERIT-FGC	INHERIT-FGCOLOR
INIT	INITIAL
INSERT-B	INSERT-BACKTAB
INSERT-T	INSERT-TAB
INT	INTEGER
IS-CLAS	IS-CLASS
KEEP-FRAME-Z	KEEP-FRAME-Z-ORDER
LABEL-BGC	LABEL-BGCOLOR
LABEL-DC	LABEL-DCOLOR
LABEL-FGC	LABEL-FGCOLOR
LABEL-PFC	LABEL-PFCOLOR
LANGUAGE	LANGUAGES
LAST-PROCE	LAST-PROCEDURE
LAST-TAB-I	LAST-TAB-ITEM
LEFT-ALIGN	LEFT-ALIGNED
LOAD-MOUSE-P	LOAD-MOUSE-POINTER
MARGIN-HEIGHT	MARGIN-HEIGHT-CHARS
MARGIN-HEIGHT-P	MARGIN-HEIGHT-PIXELS
MARGIN-WIDTH	MARGIN-WIDTH-CHARS
MARGIN-WIDTH-P	MARGIN-WIDTH-PIXELS
MAX-HEIGHT-C	MAX-HEIGHT-CHARS
MAX-HEIGHT-P	MAX-HEIGHT-PIXELS
MAX	MAXIMUM
MAX-VAL	MAX-VALUE
MAX-WIDTH	MAX-WIDTH-CHARS
MAX-WIDTH-P	MAX-WIDTH-PIXELS
MENU-K	MENU-KEY
MENU-M	MENU-MOUSE
MIN-COLUMN-WIDTH-C	MIN-COLUMN-WIDTH-CHARS
MIN-COLUMN-WIDTH-P	MIN-COLUMN-WIDTH-PIXELS
MIN-HEIGHT	MIN-HEIGHT-CHARS
MIN-HEIGHT-P	MIN-HEIGHT-PIXELS
MIN	MINIMUM
MIN-VAL	MIN-VALUE
MIN-WIDTH	MIN-WIDTH-CHARS
MIN-WIDTH-P	MIN-WIDTH-PIXELS
MOD	MODULO
MOUSE-P	MOUSE-POINTER
MOVE-AFTER	MOVE-AFTER-TAB-ITEM
