# ---------------------------------------------------------
# STRING METHODS
C Method	Specifies the justification of the string within its maximum length. The default justification depends on how the string is used. If the string is displayed with side labels, the default is right justification. If column labels are used, the defaults are left justification for character fields and right justification for numeric fields. Strings used in expressions are trimmed by default. C means centered within the string and padded on both the right and left as needed: "Hello":C10 = " Hello ".	"characters" [ : [ R | L | C | T ] [ U ] [ max-length ] ]	
L Method	Specifies the justification of the string within its maximum length. The default justification depends on how the string is used. If the string is displayed with side labels, the default is right justification. If column labels are used, the defaults are left justification for character fields and right justification for numeric fields. Strings used in expressions are trimmed by default. L means left justified and padded on the right with spaces: "Hello":L10 = "Hello ".	"characters" [ : [ R | L | C | T ] [ U ] [ max-length ] ]	
R Method	Specifies the justification of the string within its maximum length. The default justification depends on how the string is used. If the string is displayed with side labels, the default is right justification. If column labels are used, the defaults are left justification for character fields and right justification for numeric fields. Strings used in expressions are trimmed by default. R means right justified and padded on the left with spaces: "Hello":R10 = " Hello".	"characters" [ : [ R | L | C | T ] [ U ] [ max-length ] ]	
T Method	Specifies the justification of the string within its maximum length. The default justification depends on how the string is used. If the string is displayed with side labels, the default is right justification. If column labels are used, the defaults are left justification for character fields and right justification for numeric fields. Strings used in expressions are trimmed by default. T means trimmed of leading and trailing blanks (although storage space and screen space is still allocated for the maximum number of characters): " Hello":T10 = "Hello" (but screen and storage space is still reserved for 10 characters).	"characters" [ : [ R | L | C | T ] [ U ] [ max-length ] ]	
U Method	Specifies the justification of the string within its maximum length. The default justification depends on how the string is used. If the string is displayed with side labels, the default is right justification. If column labels are used, the defaults are left justification for character fields and right justification for numeric fields. Strings used in expressions are trimmed by default. U specifies that the string is untranslatable. This means that the string will not be processed by the OpenEdge Translation Manager. If you do not specify U, then the string is assumed to be translatable.	"characters" [ : [ R | L | C | T ] [ U ] [ max-length ] ]	
LOWER Function	Converts any uppercase characters in a CHARACTER or LONGCHAR expression to lowercase characters, and returns the result.	LOWER ( expression )	
UPPER Function	Converts any lowercase characters in a CHARACTER or LONGCHAR expression to uppercase characters, and returns the result.	UPPER ( expression )	
# ---------------------------------------------------------
# DATA TYPE
BLOB Type	BLOB (Binary Large OBject) specifies a database table or temp-table field that contains a BLOB locator, which points to the associated BLOB data stored in the database. You must use a MEMPTR to manipulate the binary contents of a BLOB field in ABL.	
BUFFER Type	A handle to a buffer object, corresponding to an underlying ABL buffer, which can be static or dynamic. An example of a static underlying buffer is one you define at compile time by using the DEFINE BUFFER statement, or by implicitly referencing a table in an ABL construct such as Customer.CustNum. An example of a dynamic underlying buffer is one you create at run time with the CREATE BUFFER statement.	
CHARACTER Type	CHARACTER data consists of numbers, letters, and special characters.	
CLOB Type	CLOB (Character Large OBject) specifies a database table or temp-table field that contains a CLOB locator, which points to the associated CLOB data stored in the database. You must use a LONGCHAR to manipulate the character contents of a CLOB field in ABL.	
COM-HANDLE Type	A COM-HANDLE is a handle to a COM object (ActiveX Automation object or ActiveX Control).	
DATE Type	DATE fields contain dates.	
