&ELSE	1	210
&ELSEIF	1	2
&ENDIF	1	13160
&GLOBAL-DEFINE	1	1332
&IF	1	13331
&MESSAGE	1	61
&SCOPED-DEFINE	1	38542
&THEN	1	13275
&UNDEFINE	1	727
&WEBSTREAM	1	0
{&BATCH-MODE	1	0
{&FILE-NAME	1	146
{&LINE-NUMBER	1	142
{&OPSYS	1	0
{&SEQUENCE	1	0
{&WINDOW-SYSTEM	1	4
ACTIVE-FORM	1	0
ACTIVE-WINDOW	1	54
ADD	1	1684
ALIAS	1	0
ALL	1	2284
ALTER	1	0
AMBIGUOUS	1	5
ANALYZE	1	0
AND	1	68130
ANY	1	47
APPLY	1	6868
AS	1	72589
ASCENDING	1	73
ASSIGN	1	68701
ASYNCHRONOUS	1	0
AT	1	21194
ATTR-SPACE	1	0
AUDIT-CONTROL	1	0
AUDIT-POLICY	1	0
AUTHORIZATION	1	0
AUTO-RETURN	1	15
AVAILABLE	1	17697
BACKGROUND	1	0
BEFORE-HIDE	1	675
BEGINS	1	3748
BELL	1	0
BETWEEN	1	0
BIG-ENDIAN	1	0
BREAK	1	491
BY	1	32776
CALL	1	0
CAN-DO	1	3
CAN-FIND	1	2577
CASE	1	3028
CASE-SENSITIVE	1	0
CAST	1	0
CENTERED	1	271
CHECK	1	2
CHR	1	2334
CLIPBOARD	1	432
CODEBASE-LOCATOR	1	0
COLON	1	0
COLOR	1	0
COLUMN-LABEL	1	3129
COLUMNS	1	7
COMPILER	1	14
CONNECTED	1	838
CONTROL	1	1643
COPY-LOB	1	0
COUNT-OF	1	0
CREATE	1	12630
CURRENT	1	367
CURRENT_DATE	1	0
CURRENT-CHANGED	1	2
CURRENT-LANGUAGE	1	0
CURRENT-WINDOW	1	3508
DATABASE	1	0
DATA-RELATION	1	18
DATASERVERS	1	0
DATASET	1	177
DATASET-HANDLE	1	0
DATA-SOURCE	1	290
DBCODEPAGE	1	0
DBCOLLATION	1	0
DBNAME	1	6
DBPARAM	1	0
DBRESTRICTIONS	1	0
DBTASKID	1	0
DBTYPE	1	0
DBVERSION	1	0
DDE	1	4
DEBUGGER	1	0
DEBUG-LIST	1	0
DECIMALS	1	14
DECLARE	1	14
DEFAULT	1	2077
DEFAULT-NOXLATE	1	0
DEFAULT-WINDOW	1	0
DEFINE	1	75260
DELETE	1	4442
DELIMITER	1	619
DESCENDING	1	611
DICTIONARY	1	0
DISABLE	1	3768
DISCONNECT	1	3
DISP	1	42
DISPLAY	1	1944
DISTINCT	1	3
DO	1	80555
DOS	1	11
DOWN	1	1393
DROP	1	0
DYNAMIC-FUNCTION	1	33791
DYNAMIC-INVOKE	1	0
EACH	1	16978
EDITING	1	0
ELSE	1	30617
ENABLE	1	2021
ENCODE	1	0
END	1	94565
ENTRY	1	5268
ERROR-STATUS	1	23268
ESCAPE	1	15
ETIME	1	5
EVENT-PROCEDURE	1	0
EXCEPT	1	356
EXCLUSIVE-LOCK	1	4806
EXPORT	1	1458
FALSE	1	19008
FETCH	1	2
FIELD	1	16107
FIELDS	1	2614
FILE-INFORMATION	1	2
FILL	1	2108
FIND	1	19528
FIND-CASE-SENSITIVE	1	0
FIND-GLOBAL	1	0
FIND-NEXT-OCCURRENCE	1	0
FIND-PREV-OCCURRENCE	1	0
FIND-SELECT	1	0
FIND-WRAP-AROUND	1	0
FIRST	1	24925
FIRST-OF	1	383
FOCUS	1	777
FONT	1	8180
FOR	1	39135
FORM	1	285
FORMAT	1	14959
FRAME	1	47777
FRAME-COL	1	0
FRAME-DB	1	0
FRAME-DOWN	1	0
FRAME-FIELD	1	3
FRAME-FILE	1	0
FRAME-INDEX	1	0
FRAME-LINE	1	0
FRAME-NAME	1	1276
FRAME-ROW	1	0
FRAME-VALUE	1	0
FROM	1	1523
FROM-CHARS	1	0
FROM-PIXELS	1	0
FUNCTION-CALL-TYPE	1	0
GATEWAYS	1	0
GET-ATTR-CALL-TYPE	1	0
GET-BUFFER-HANDLE	1	26
GETBYTE	1	0
GET-BYTE	1	0
GET-CODEPAGES	1	0
GET-COLLATIONS	1	0
GET-ERROR-COLUMN	1	0
GET-ERROR-ROW	1	0
GET-FILE-NAME	1	0
GET-FILE-OFFSET	1	0
GET-KEY-VALUE	1	3
GLOBAL	1	194
GO-ON	1	0
GO-PENDING	1	0
GRANT	1	0
GRAPHIC-EDGE	1	3154
GROUP	1	17
HAVING	1	0
HEADER	1	69
HELP	1	890
HIDE	1	2571
HOST-BYTE-ORDER	1	0
IF	1	99070
IMPORT	1	1292
IN	1	30027
INDEX	1	1270
INDICATOR	1	0
INPUT	1	53169
INPUT-OUTPUT	1	4597
INSERT	1	531
INTO	1	1158
IS	1	4190
IS-ATTR-SPACE	1	0
IS-LEAD-BYTE	1	0
JOIN	1	4
KBLABEL	1	2
KEYCODE	1	136
KEY-CODE	1	3
KEYFUNCTION	1	0
KEY-FUNCTION	1	0
KEYLABEL	1	0
KEY-LABEL	1	0
KEYS	1	0
KEYWORD	1	41
LABEL	1	11625
